index,time_us,ax,ay,az
0,1049,2.20506,0.70390,-9.83778
1,2013,1.41497,-0.68953,-9.05008
2,2969,1.59933,0.44532,-9.54089
3,3956,1.73101,-0.14844,-9.32542
4,4956,1.52750,0.33758,-9.73004
5,5956,1.57060,-0.13408,-9.27274
6,6956,2.14760,0.41420,-9.70370
7,7956,1.41018,-0.53630,-9.16022
8,8956,1.22583,0.02873,-9.44991
9,9956,1.71664,-0.08859,-9.49780
10,10956,1.31202,0.29449,-9.54089
11,11956,2.05183,-0.26815,-9.34218
12,12956,0.54109,-0.27533,-9.40682
13,13956,2.74854,0.75178,-9.94791
14,14956,1.37667,-0.56982,-8.74602
15,15956,1.66158,1.48919,-10.11550
16,16956,1.97043,-0.57221,-9.07402
17,17956,1.36709,0.38307,-9.52892
18,18956,1.75016,-0.09337,-9.32781
19,19956,1.51553,-0.01915,-9.48343
20,20956,1.68791,0.39265,-9.48343
21,21956,1.68552,-0.17957,-9.39485
22,22956,1.92254,0.26336,-9.51216
23,23956,1.04627,-0.53870,-9.17698
24,24956,1.57778,0.23463,-9.72046
25,25956,1.34794,-0.21308,-9.21289
26,26956,2.09732,0.69192,-9.81383
27,27956,0.98881,-1.32878,-8.77236
28,28956,1.57538,1.13964,-10.13466
29,29956,2.38462,-0.53151,-9.27274
30,30956,1.12049,0.43574,-9.33020
31,31956,2.19069,1.17316,-10.02931
32,32956,1.69031,-0.84755,-8.99741
33,33956,1.45328,0.53870,-9.55526
34,34956,1.75974,-0.19154,-9.27035
35,35956,1.51792,0.20590,-9.73243
36,36956,1.67834,0.00958,-9.28711
37,37956,2.01113,0.33040,-9.72525
38,38956,1.46286,-0.38068,-9.24401
39,39956,1.11091,-0.07901,-9.40442
40,40956,1.71904,0.01437,-9.61511
41,41956,1.15161,0.03831,-9.36612
42,42956,2.20985,0.24900,-9.54329
43,43956,0.40701,-0.97923,-9.05008
44,44956,2.60489,1.26653,-10.24479
45,45956,1.68073,-0.86431,-8.73884
46,46956,1.44131,1.38624,-10.00297
47,47956,2.13563,-0.16281,-9.26795
48,48956,1.44131,-0.03591,-9.32302
49,49956,1.64242,-0.02394,-9.37569
50,50956,1.50116,-0.03591,-9.41400
51,51956,1.59693,0.43814,-9.59117
52,52956,1.54665,-0.24900,-9.29429
53,53956,2.00395,0.44772,-9.59357
54,54956,1.09415,-0.52672,-9.16022
55,55956,1.36948,0.19154,-9.73722
56,56956,1.45567,-0.18914,-9.25119
57,57956,1.79086,0.71347,-9.89524
58,58956,1.23780,-1.02232,-8.92798
59,59956,1.23780,0.87867,-10.03649
60,60956,2.61207,-0.19872,-9.43555
61,61956,1.17316,0.03352,-9.08121
62,62956,2.09253,1.37667,-10.11550
63,63956,1.75974,-0.86191,-9.00699
64,64956,1.35751,0.57461,-9.63427
65,65956,1.77171,-0.13886,-9.31823
66,66956,1.40300,0.16520,-9.55047
67,67956,1.61848,0.22266,-9.22007
68,68956,1.90100,0.15562,-9.64624
69,69956,1.62566,-0.15562,-9.32542
70,70956,1.01275,-0.15802,-9.31344
71,71956,1.78847,0.11013,-9.68694
72,72956,1.21865,-0.18435,-9.27035
73,73956,2.31519,0.58419,-9.70609
74,74956,0.50996,-1.31681,-8.88488
75,75956,2.29365,1.45567,-10.32140
76,76956,2.00874,-0.96007,-8.82263
77,77956,1.28569,1.07021,-9.74679
78,78956,2.20506,0.31125,-9.56484
79,79956,1.40779,-0.41420,-9.18895
80,80956,1.61609,0.31603,-9.48583
81,81956,1.66158,-0.14844,-9.36372
82,82956,1.60651,0.38068,-9.67736
83,83956,1.51792,-0.15802,-9.21528
84,84956,2.03028,0.49081,-9.66779
85,85956,1.24977,-0.61770,-9.11233
86,86956,1.32160,0.12689,-9.57681
87,87956,1.64482,-0.17957,-9.42358
88,88956,1.54187,0.45729,-9.72046
89,89956,1.75495,-0.65362,-9.09557
90,90956,0.78290,0.19393,-9.68694
91,91956,2.76051,0.23942,-9.80904
92,92956,1.25696,-0.34716,-8.92080
93,93956,1.78129,1.49398,-10.14423
94,94956,1.96564,-0.71826,-9.01656
95,95956,1.47722,0.47405,-9.51456
96,96956,1.83396,-0.21548,-9.37569
97,97956,1.41976,0.02394,-9.56005
98,98956,1.69031,0.32561,-9.36372
99,99956,1.73819,-0.02634,-9.54568
100,100956,1.84114,0.15323,-9.47625
101,101956,1.02951,-0.37828,-9.22007
102,102956,1.71185,0.27294,-9.69412
103,103956,1.26653,-0.26576,-9.25119
104,104956,2.26970,0.74939,-9.94073
105,105956,0.75178,-1.37188,-8.83460
106,106956,1.94888,1.31681,-10.33337
107,107956,2.23379,-0.85234,-9.07881
108,108956,1.16598,0.69192,-9.48104
109,109956,2.23140,0.88107,-9.78031
110,110956,1.59454,-0.77093,-8.97107
111,111956,1.51553,0.47405,-9.55287
112,112956,1.73101,-0.15323,-9.33499
113,113956,1.57060,0.33758,-9.73004
114,114956,1.60172,-0.03352,-9.23683
115,115956,2.03028,0.36871,-9.61272
116,116956,1.33836,-0.50996,-9.15543
117,117956,1.24259,-0.01437,-9.56005
118,118956,1.80523,-0.08859,-9.59596
119,119956,1.35751,0.16759,-9.51695
120,120956,2.20027,-0.09577,-9.40442
121,121956,0.49560,-0.48842,-9.30626
122,122956,2.64559,0.84515,-10.06522
123,123956,1.47004,-0.70868,-8.76038
124,124956,1.60890,1.51314,-10.10114
125,125956,2.06859,-0.38547,-9.13867
126,126956,1.42455,0.25379,-9.44991
127,127956,1.76692,-0.08140,-9.32063
128,128956,1.53947,-0.03591,-9.50977
129,129956,1.66158,0.41659,-9.51216
130,130956,1.63045,-0.21548,-9.41161
131,131956,1.99916,0.38786,-9.59117
132,132956,1.14443,-0.53870,-9.14585
133,133956,1.62087,0.18435,-9.73004
134,134956,1.50116,-0.24660,-9.18416
135,135956,2.00395,0.76614,-9.90002
136,136956,1.05824,-1.24738,-8.78433
137,137956,1.53708,1.06542,-10.07480
138,138956,2.43969,-0.50278,-9.32302
139,139956,1.08697,0.24660,-9.29429
140,140956,2.11169,1.25217,-10.13705
141,141956,1.73101,-0.86431,-9.00938
142,142956,1.41737,0.50757,-9.56723
143,143956,1.80283,-0.20590,-9.27753
144,144956,1.44849,0.18914,-9.62708
145,145956,1.67594,0.10295,-9.22007
146,146956,2.00634,0.29928,-9.67976
147,147956,1.52750,-0.28012,-9.27514
148,148956,1.04148,-0.10534,-9.29669
149,149956,1.72383,0.12450,-9.69173
150,150956,1.16837,-0.00239,-9.34218
151,151956,2.29604,0.33040,-9.58878
152,152956,0.45011,-1.14443,-8.93037
153,153956,2.50912,1.29766,-10.22085
154,154956,1.79805,-0.91698,-8.76038
155,155956,1.37906,1.28569,-9.95270
156,156956,2.17633,0.08619,-9.45470
157,157956,1.39821,-0.15562,-9.25598
158,158956,1.67355,0.16281,-9.44513
159,159956,1.63763,-0.10774,-9.37330
160,160956,1.64003,0.39265,-9.61033
161,161956,1.59933,-0.25618,-9.31823
162,162956,2.04944,0.52433,-9.60793
163,163956,1.17555,-0.55306,-9.09557
164,164956,1.47004,0.15802,-9.68215
165,165956,1.61369,-0.23224,-9.38288
166,166956,1.78847,0.67038,-9.72525
167,167956,1.45807,-1.00317,-8.93756
168,168956,1.06303,0.77572,-9.90481
169,169956,2.62644,-0.12450,-9.64624
170,170956,1.12288,-0.21069,-9.07402
171,171956,1.98719,1.39582,-10.19691
172,172956,1.82678,-0.85234,-8.99262
173,173956,1.35512,0.50278,-9.58638
174,174956,1.86029,-0.24900,-9.30866
175,175956,1.46525,0.12929,-9.54808
176,176956,1.67594,0.20590,-9.29908
177,177956,1.88184,0.06225,-9.63427
178,178956,1.77650,-0.05028,-9.37091
179,179956,1.01514,-0.31603,-9.25119
180,180956,1.71664,0.19632,-9.72525
181,181956,1.16837,-0.23942,-9.30147
182,182956,2.26970,0.64404,-9.77313
183,183956,0.54827,-1.25217,-8.90404
184,184956,2.17394,1.33118,-10.25197
185,185956,2.03268,-0.81882,-8.86812
186,186956,1.24498,0.96486,-9.67736
187,187956,2.20027,0.61292,-9.70849
188,188956,1.49638,-0.50278,-9.18176
189,189956,1.54905,0.29688,-9.48343
190,190956,1.63763,-0.14605,-9.34696
191,191956,1.58736,0.40462,-9.67497
192,192956,1.56102,-0.15323,-9.27514
193,193956,2.06620,0.51954,-9.69891
194,194956,1.22823,-0.56264,-9.11233
195,195956,1.26653,0.06464,-9.57920
196,196956,1.69509,-0.13168,-9.48583
197,197956,1.46765,0.36871,-9.74679
198,198956,1.78368,-0.65362,-9.15782
199,199956,0.67038,0.17957,-9.57441
200,200956,2.75573,0.43335,-9.81144
201,201956,1.29526,-0.47405,-8.83700
202,202956,1.78847,1.45807,-10.22324
203,203956,1.91297,-0.71347,-9.03332
204,204956,1.31681,0.48842,-9.48822
205,205956,1.79326,-0.17717,-9.35654
206,206956,1.44610,0.02873,-9.54808
207,207956,1.64003,0.32801,-9.39006
208,208956,1.71904,-0.10774,-9.56484
209,209956,1.87466,0.19154,-9.39724
210,210956,1.06063,-0.40701,-9.10036
211,211956,1.71664,0.22266,-9.72525
212,212956,1.21147,-0.28012,-9.23444
213,213956,2.13323,0.72544,-9.90242
214,214956,0.74699,-1.33836,-8.86094
215,215956,1.86269,1.27132,-10.21845
216,216956,2.24576,-0.72544,-9.01417
217,217956,1.07021,0.65841,-9.47386
218,218956,2.17154,0.93613,-9.89524
219,219956,1.57538,-0.76854,-9.07881
220,220956,1.50116,0.38786,-9.51456
221,221956,1.68552,-0.21548,-9.25359
222,222956,1.52032,0.37589,-9.68694
223,223956,1.61130,-0.04788,-9.23204
224,224956,2.08296,0.35674,-9.67736
225,225956,1.36469,-0.49560,-9.20810
226,226956,1.23780,0.02634,-9.51695
227,227956,1.68791,-0.08380,-9.50977
228,228956,1.27850,0.18675,-9.48343
229,229956,2.11647,-0.11013,-9.41879
230,230956,0.51954,-0.51475,-9.34696
231,231956,2.71263,0.93374,-10.07241
232,232956,1.40061,-0.70868,-8.73884
233,233956,1.61848,1.51074,-10.11071
234,234956,2.09014,-0.48842,-9.18895
235,235956,1.40061,0.30167,-9.37569
236,236956,1.76453,-0.14126,-9.34936
237,237956,1.56820,-0.04310,-9.44034
238,238956,1.66636,0.37589,-9.45470
239,239956,1.70946,-0.19154,-9.43076
240,240956,1.95367,0.34237,-9.49301
241,241956,1.00796,-0.49081,-9.13148
242,242956,1.57060,0.18435,-9.74679
243,243956,1.32639,-0.24421,-9.29190
244,244956,2.03986,0.84994,-9.93833
245,245956,0.86191,-1.40300,-8.77236
246,246956,1.80523,1.33118,-10.20409
247,247956,2.43969,-0.70390,-9.17219
248,248956,1.10373,0.47645,-9.37809
249,249956,2.24097,1.08697,-10.00058
250,250956,1.53947,-0.85234,-9.00220
251,251956,1.47483,0.52672,-9.59596
252,252956,1.78607,-0.16281,-9.24880
253,253956,1.51553,0.22505,-9.61272
254,254956,1.63285,0.08859,-9.23204
255,255956,2.02789,0.34955,-9.72285
256,256956,1.42455,-0.37110,-9.19613
257,257956,1.07260,0.00479,-9.44991
258,258956,1.71185,-0.02155,-9.59596
259,259956,1.23780,0.08619,-9.37330
260,260956,2.25534,0.22745,-9.43076
261,261956,0.41899,-0.84515,-9.12430
262,262956,2.64320,1.07021,-10.12508
263,263956,1.60412,-0.84755,-8.76038
264,264956,1.47243,1.35033,-9.97664
265,265956,2.06380,-0.22984,-9.28471
266,266956,1.39821,0.09098,-9.45231
267,267956,1.70946,-0.00958,-9.35893
268,268956,1.54187,-0.02634,-9.44752
269,269956,1.69988,0.40941,-9.55287
270,270956,1.65679,-0.22266,-9.38288
271,271956,1.99437,0.45490,-9.61751
272,272956,1.09654,-0.53630,-9.16022
273,273956,1.55144,0.15083,-9.76355
274,274956,1.45807,-0.28491,-9.28711
275,275956,2.00395,0.77572,-9.90481
276,276956,1.08218,-1.24738,-8.73165
277,277956,1.49398,1.05345,-10.05804
278,278956,2.54264,-0.48602,-9.33978
279,279956,1.07021,0.22266,-9.21768
280,280956,2.13323,1.19710,-10.04846
281,281956,1.68312,-0.93134,-8.94234
282,282956,1.42455,0.53870,-9.58878
283,283956,1.74298,-0.22027,-9.27514
284,284956,1.40300,0.17238,-9.64624
285,285956,1.60890,0.17957,-9.23683
286,286956,2.01113,0.25618,-9.69412
287,287956,1.58257,-0.24421,-9.29669
288,288956,1.13006,-0.11492,-9.39485
289,289956,1.71904,0.10534,-9.72046
290,290956,1.11809,-0.03831,-9.35893
291,291956,2.31519,0.36392,-9.61990
292,292956,0.39983,-1.02232,-9.04290
293,293956,2.47800,1.24498,-10.18015
294,294956,1.71904,-0.92895,-8.76996
295,295956,1.38624,1.29047,-9.99340
296,296956,2.17633,0.01676,-9.33978
297,297956,1.40779,-0.11013,-9.26556
298,298956,1.70467,0.06225,-9.46907
299,299956,1.60172,-0.04788,-9.37330
300,300956,1.62566,0.45011,-9.57202
301,301956,1.58496,-0.22266,-9.36612
302,302956,2.05422,0.53391,-9.57441
303,303956,1.13725,-0.53151,-9.06205
304,304956,1.43652,0.15562,-9.71328
305,305956,1.53229,-0.21787,-9.34936
306,306956,1.75256,0.62728,-9.84256
307,307956,1.33596,-1.05584,-9.00938
308,308956,1.14443,0.71108,-10.00537
309,309956,2.68869,-0.13408,-9.60075
310,310956,1.09176,-0.14365,-9.02614
311,311956,2.02549,1.47004,-10.15620
312,312956,1.84114,-0.90501,-8.95192
313,313956,1.35751,0.60094,-9.50977
314,314956,1.81480,-0.23942,-9.28471
315,315956,1.36230,0.07661,-9.65582
316,316956,1.63045,0.23942,-9.34218
317,317956,1.95127,0.14126,-9.72525
318,318956,1.67355,-0.17478,-9.30387
319,319956,1.11091,-0.25618,-9.24880
320,320956,1.77650,0.15323,-9.70609
321,321956,1.17316,-0.08859,-9.36133
322,322956,2.31040,0.53151,-9.74679
323,323956,0.41180,-1.24498,-8.95192
324,324956,2.36308,1.37188,-10.32380
325,325956,1.86029,-0.89064,-8.86573
326,326956,1.37906,1.21386,-9.89763
327,327956,2.22661,0.28730,-9.50977
328,328956,1.38145,-0.34955,-9.22486
329,329956,1.56820,0.21548,-9.48104
330,330956,1.61609,-0.09816,-9.35654
