index,time_us,ax,ay,az
145,145955,0.38547,0.03591,-9.70849
146,146955,0.59855,-0.62489,-9.43794
147,147956,0.74220,-0.46208,-9.54568
148,148955,0.59855,-0.39025,-9.61033
149,149956,0.55306,-0.35913,-9.54808
150,150956,0.76854,-0.59376,-9.51695
151,151955,0.66559,-0.29449,-9.56244
152,152956,0.58179,-0.71826,-9.49062
153,153955,0.86670,-0.27533,-9.52174
154,154955,0.86670,-0.64404,-9.66779
155,155955,0.47884,-0.44293,-9.59596
156,156956,0.61052,-0.30885,-9.62469
157,157955,1.21386,-0.93134,-9.45710
158,158955,0.14126,0.24181,-9.76595
159,159955,1.06781,-0.63686,-9.45710
160,160956,1.09894,-0.65601,-9.49301
161,161955,0.24660,0.02873,-9.71567
162,162956,0.80206,-0.79009,-9.39245
163,163955,0.64643,-0.30406,-9.65821
164,164955,0.70390,-0.36152,-9.61511
165,165955,0.56982,-0.42617,-9.58878
166,166955,0.90740,-0.56503,-9.50977
167,167955,0.54827,-0.35434,-9.51935
168,168956,0.72305,-0.63925,-9.48104
169,169955,0.77572,-0.29688,-9.61033
170,170956,0.85473,-0.76854,-9.59357
171,171955,0.24181,-0.19393,-9.63427
172,172955,0.99120,-0.76375,-9.48343
173,173956,0.84994,-0.40462,-9.51216
174,174955,0.14365,0.07422,-9.63906
175,175955,1.36709,-0.86910,-9.36851
176,176956,0.72305,-0.29449,-9.56484
177,177955,0.38307,-0.18196,-9.62708
178,178955,0.77572,-0.56743,-9.46667
179,179956,0.54588,-0.37828,-9.64145
180,180955,0.67038,-0.37828,-9.53132
181,181955,0.67277,-0.47884,-9.56723
182,182955,0.87388,-0.40462,-9.44752
183,183956,0.40223,-0.55306,-9.51935
184,184955,0.77333,-0.44772,-9.51216
185,185955,0.72784,-0.39744,-9.64624
186,186956,0.77093,-0.78769,-9.46667
187,187955,0.25139,-0.17238,-9.59596
188,188955,1.20907,-0.96965,-9.39485
189,189955,0.49799,-0.04070,-9.62230
190,190956,0.45250,-0.20111,-9.62708
191,191955,1.49638,-0.93853,-9.29908
192,192955,0.43814,-0.00479,-9.65103
193,193955,0.54348,-0.58897,-9.41161
194,194956,0.68474,-0.46448,-9.52892
195,195955,0.64165,-0.41899,-9.62230
196,196955,0.60573,-0.35913,-9.53132
197,197955,0.73502,-0.55067,-9.56723
198,198956,0.71347,-0.31843,-9.52892
199,199955,0.50039,-0.71826,-9.57681
200,200955,0.81403,-0.27773,-9.65103
201,201956,0.85952,-0.64883,-9.58399
202,202955,0.50278,-0.47166,-9.55287
203,203955,0.55545,-0.35913,-9.56962
204,204955,1.17076,-0.90022,-9.36851
205,205956,0.14844,0.17238,-9.64384
206,206955,0.96726,-0.59137,-9.42118
207,207955,1.14922,-0.72065,-9.42118
208,208955,0.27773,0.07901,-9.69891
209,209956,0.76375,-0.80924,-9.45710
210,210955,0.66798,-0.31364,-9.62948
211,211955,0.64165,-0.40701,-9.57920
212,212955,0.51236,-0.32561,-9.51935
213,213956,0.86910,-0.60573,-9.51216
214,214955,0.49799,-0.41180,-9.57202
215,215955,0.59855,-0.71347,-9.53132
216,216955,0.75896,-0.28252,-9.63666
217,217956,0.91937,-0.74460,-9.53850
218,218955,0.22505,-0.22027,-9.56005
219,219955,0.96965,-0.65601,-9.44752
220,220955,0.90980,-0.51236,-9.42597
221,221956,0.12929,0.08140,-9.61751
222,222955,1.37427,-0.84994,-9.27514
223,223955,0.77572,-0.29209,-9.57202
224,224955,0.33279,-0.15802,-9.64384
225,225956,0.81403,-0.66319,-9.42597
226,226955,0.61292,-0.33519,-9.61033
227,227955,0.68235,-0.37110,-9.49301
228,228955,0.62010,-0.44772,-9.54089
229,229956,0.86191,-0.45011,-9.53611
230,230955,0.36392,-0.55067,-9.52653
231,231955,0.78051,-0.50996,-9.45710
232,232955,0.70390,-0.43096,-9.53611
233,233956,0.71108,-0.79487,-9.48583
234,234955,0.24660,-0.00958,-9.64624
235,235955,1.20907,-1.00078,-9.38527
236,236955,0.52194,-0.02155,-9.57681
237,237956,0.45969,-0.21548,-9.58160
238,238955,1.47004,-0.90740,-9.37091
239,239956,0.40701,-0.01915,-9.65103
240,240955,0.54588,-0.52672,-9.41879
241,241955,0.86910,-0.48602,-9.45710
242,242955,0.65841,-0.41180,-9.51456
243,243956,0.60813,-0.32561,-9.59357
244,244955,0.70390,-0.56743,-9.60314
245,245955,0.69911,-0.30885,-9.51216
246,246955,0.47884,-0.70150,-9.53132
247,247955,0.82839,-0.32322,-9.59117
248,248956,0.84515,-0.60573,-9.67497
249,249955,0.56743,-0.52433,-9.56962
250,250955,0.54827,-0.34955,-9.56723
251,251955,1.25217,-0.95289,-9.41640
252,252955,0.19632,0.09816,-9.72285
253,253955,0.90980,-0.53870,-9.50019
254,254955,1.23062,-0.79727,-9.36612
255,255955,0.26336,0.09577,-9.71806
256,256956,0.78769,-0.74460,-9.42837
257,257955,0.74939,-0.40462,-9.65821
258,258955,0.67756,-0.47645,-9.62708
259,259955,0.56024,-0.37110,-9.55287
260,260955,0.90501,-0.56982,-9.54568
261,261955,0.61052,-0.34237,-9.65582
262,262956,0.67277,-0.72784,-9.56484
263,263955,0.88585,-0.31364,-9.59357
264,264955,0.87388,-0.70868,-9.57681
265,265955,0.36871,-0.29209,-9.65103
266,266955,0.87867,-0.54348,-9.52174
267,267955,1.09654,-0.72305,-9.43794
268,268956,0.12210,0.22745,-9.67736
269,269955,1.30484,-0.80924,-9.33260
270,270955,0.93613,-0.51954,-9.50977
271,271955,0.30406,-0.11492,-9.64863
272,272955,0.83079,-0.75417,-9.34218
273,273955,0.61531,-0.32082,-9.66539
274,274955,0.68235,-0.43574,-9.57441
275,275955,0.56503,-0.43574,-9.58160
276,276956,0.89064,-0.52194,-9.57202
277,277955,0.48602,-0.50039,-9.61751
278,278955,0.78530,-0.58179,-9.56244
279,279955,0.77572,-0.37350,-9.61990
280,280955,0.82600,-0.74220,-9.50977
281,281956,0.18914,-0.11492,-9.71328
282,282955,1.14443,-0.89783,-9.44034
283,283955,0.66559,-0.21548,-9.51695
284,284955,0.28970,-0.08859,-9.64384
285,285955,1.42455,-0.94092,-9.32302
286,286955,0.51715,-0.17717,-9.54568
287,287955,0.44293,-0.43814,-9.42597
288,288955,0.74460,-0.53870,-9.40682
289,289955,0.56743,-0.40701,-9.59596
290,290955,0.64165,-0.37828,-9.54089
291,291955,0.73502,-0.52433,-9.52892
292,292956,0.85473,-0.34955,-9.52174
293,293955,0.45250,-0.63446,-9.61272
294,294955,0.86191,-0.36631,-9.56005
295,295955,0.79487,-0.49799,-9.62230
296,296955,0.66080,-0.64404,-9.45470
297,297956,0.32801,-0.20351,-9.62230
298,298955,1.27132,-0.96007,-9.40682
299,299955,0.29928,0.10774,-9.62948
300,300955,0.67038,-0.36631,-9.56484
301,301955,1.41737,-0.85473,-9.38766
302,302955,0.34477,0.03352,-9.77792
303,303956,0.60094,-0.67038,-9.44752
304,304955,0.72305,-0.39504,-9.57441
305,305955,0.69192,-0.42617,-9.58399
306,306955,0.64643,-0.39983,-9.52892
307,307955,0.84994,-0.62249,-9.49062
308,308955,0.70150,-0.36631,-9.55287
309,309955,0.56024,-0.71108,-9.50977
310,310955,0.86670,-0.32082,-9.53132
311,311955,0.79487,-0.66080,-9.57441
312,312955,0.40941,-0.41899,-9.49780
313,313955,0.62728,-0.37110,-9.52413
314,314955,1.12527,-0.82600,-9.37809
315,315955,0.14844,0.23942,-9.76355
316,316955,1.18034,-0.70150,-9.43076
317,317955,1.08218,-0.67038,-9.49062
318,318955,0.29928,0.04549,-9.71328
319,319955,0.81642,-0.78290,-9.43076
320,320955,0.65122,-0.31125,-9.58160
321,321956,0.70868,-0.42377,-9.46667
322,322955,0.58658,-0.41659,-9.52174
323,323955,0.92895,-0.59376,-9.55287
324,324955,0.50757,-0.45011,-9.61990
325,325955,0.76375,-0.61292,-9.57681
326,326955,0.76854,-0.36631,-9.56962
327,327955,0.87388,-0.76375,-9.50977
328,328955,0.22266,-0.11971,-9.65342
329,329956,1.03190,-0.77093,-9.42597
330,330955,0.76136,-0.33279,-9.62469
331,331955,0.20830,0.00718,-9.72525
332,332955,1.40540,-0.89543,-9.35415
333,333955,0.62489,-0.26815,-9.55047
334,334955,0.42617,-0.28491,-9.52413
335,335955,0.80206,-0.55785,-9.46189
336,336955,0.64643,-0.36871,-9.72525
337,337956,0.62968,-0.37589,-9.62230
338,338955,0.62010,-0.50278,-9.58878
339,339955,0.87388,-0.39983,-9.51935
340,340955,0.46208,-0.72784,-9.62230
341,341955,0.89304,-0.35434,-9.62708
342,342955,0.77812,-0.50039,-9.67736
343,343955,0.73741,-0.66798,-9.52653
344,344955,0.30646,-0.09816,-9.61751
345,345955,1.21865,-1.02711,-9.35415
346,346955,0.32322,0.06704,-9.68455
347,347955,0.58897,-0.34477,-9.59357
348,348955,1.45567,-0.87628,-9.36372
349,349955,0.32322,0.06225,-9.70370
350,350955,0.58419,-0.63925,-9.43555
351,351955,0.73981,-0.42856,-9.57202
352,352955,0.65122,-0.38307,-9.62230
353,353955,0.56024,-0.41180,-9.50259
354,354956,0.77572,-0.58179,-9.50019
355,355955,0.68235,-0.31125,-9.55765
356,356956,0.57700,-0.74699,-9.52413
357,357955,0.89064,-0.29209,-9.52892
358,358955,0.86910,-0.65122,-9.58878
359,359956,0.45250,-0.37828,-9.49780
360,360955,0.66559,-0.45250,-9.52653
361,361955,1.24498,-0.79487,-9.37569
362,362956,0.08380,0.13647,-9.68933
363,363955,1.07260,-0.63207,-9.42837
364,364955,1.10852,-0.69911,-9.48583
365,365955,0.30406,0.12689,-9.68694
366,366956,0.80206,-0.75657,-9.39006
367,367955,0.68714,-0.37110,-9.59596
368,368955,0.63446,-0.48123,-9.57681
369,369955,0.54348,-0.44293,-9.54329
370,370956,0.90980,-0.60094,-9.57681
371,371955,0.49799,-0.38547,-9.58878
372,372955,0.74460,-0.65601,-9.50259
373,373955,0.80924,-0.27054,-9.56723
374,374955,0.84515,-0.75178,-9.55287
375,375955,0.24660,-0.21069,-9.62708
376,376956,0.97683,-0.64643,-9.54808
377,377955,0.91219,-0.56024,-9.46189
378,378955,0.17957,0.11013,-9.63906
379,379955,1.45089,-0.94571,-9.32542
380,380956,0.74220,-0.28730,-9.47625
381,381955,0.33758,-0.21548,-9.54568
382,382955,0.80445,-0.66319,-9.47864
383,383955,0.62489,-0.33998,-9.64863
384,384956,0.71108,-0.41180,-9.52653
385,385955,0.63207,-0.50039,-9.60075
386,386955,0.96007,-0.45729,-9.51456
387,387955,0.43814,-0.59376,-9.50977
388,388956,0.77812,-0.46926,-9.55526
389,389955,0.77093,-0.47645,-9.59596
390,390955,0.70150,-0.70150,-9.50259
391,391955,0.31603,-0.07661,-9.66300
392,392956,1.25456,-0.97923,-9.44991
393,393955,0.47166,-0.01197,-9.61511
394,394955,0.50757,-0.22745,-9.56723
395,395955,1.53468,-0.92177,-9.33260
396,396956,0.45011,-0.08380,-9.65103
397,397955,0.53391,-0.52194,-9.45710
398,398956,0.78769,-0.46448,-9.53850
399,399955,0.63925,-0.34237,-9.69173
400,400955,0.62968,-0.40941,-9.65103
401,401956,0.77812,-0.61052,-9.51935
402,402955,0.72784,-0.35195,-9.55047
403,403955,0.51954,-0.66080,-9.61751
404,404955,0.80685,-0.30167,-9.51695
405,405956,0.80685,-0.60094,-9.61511
406,406955,0.58419,-0.54588,-9.60554
407,407956,0.55785,-0.34716,-9.60554
408,408955,1.27372,-0.93613,-9.39006
409,409956,0.27773,0.22266,-9.71806
410,410955,0.93134,-0.55545,-9.49062
411,411955,1.20668,-0.79966,-9.42837
412,412955,0.23463,0.09098,-9.73722
413,413956,0.72784,-0.76614,-9.36851
414,414955,0.73741,-0.35913,-9.60075
415,415955,0.67756,-0.38547,-9.54568
416,416955,0.52194,-0.35674,-9.55526
417,417956,0.86670,-0.64404,-9.51216
418,418955,0.56503,-0.38547,-9.58399
419,419956,0.69671,-0.65362,-9.56723
420,420955,0.83318,-0.27773,-9.62708
421,421956,0.91459,-0.76136,-9.59117
422,422955,0.27294,-0.19393,-9.63666
423,423955,0.86191,-0.63686,-9.53611
424,424956,0.93134,-0.55785,-9.49301
425,425955,0.11732,0.15083,-9.68215
426,426955,1.35751,-0.88346,-9.32063
427,427956,0.76375,-0.39025,-9.53611
428,428955,0.31603,-0.16999,-9.64624
429,429955,0.78051,-0.69911,-9.50019
430,430956,0.63207,-0.32801,-9.64863
431,431955,0.68474,-0.38307,-9.56005
432,432955,0.58897,-0.49321,-9.59117
433,433956,0.95289,-0.46926,-9.58160
434,434955,0.44772,-0.60573,-9.63666
435,435955,0.82121,-0.44293,-9.59835
436,436955,0.75657,-0.40223,-9.61990
437,437955,0.76614,-0.72784,-9.52892
438,438955,0.21308,-0.11732,-9.63187
439,439956,1.25696,-0.90980,-9.41879
440,440955,0.45969,0.00000,-9.66539
441,441956,0.50757,-0.18675,-9.66779
442,442955,1.44610,-0.89783,-9.39245
443,443955,0.35195,0.00479,-9.67736
444,444955,0.54348,-0.56264,-9.47625
445,445955,0.80445,-0.42856,-9.50019
446,446955,0.61052,-0.41659,-9.54329
447,447956,0.54588,-0.36871,-9.50019
448,448955,0.76614,-0.61531,-9.54329
449,449955,0.72065,-0.35434,-9.52892
450,450955,0.50757,-0.73502,-9.55287
451,451955,0.82600,-0.25618,-9.58399
452,452955,0.82361,-0.60094,-9.59596
453,453956,0.50039,-0.50039,-9.52413
454,454955,0.56024,-0.26097,-9.57920
455,455955,1.20907,-0.90022,-9.39245
456,456955,0.15083,0.24900,-9.71567
457,457955,1.02232,-0.60334,-9.48343
458,458955,1.19471,-0.73023,-9.39006
459,459955,0.31603,0.08619,-9.70849
460,460956,0.78290,-0.78051,-9.40203
461,461955,0.69432,-0.35434,-9.62708
462,462955,0.64165,-0.45969,-9.60554
463,463955,0.50518,-0.45969,-9.60793
464,464955,0.86431,-0.52672,-9.57202
465,465956,0.55545,-0.43574,-9.56244
466,466955,0.71587,-0.63207,-9.54089
467,467955,0.84036,-0.38068,-9.67497
468,468955,0.84276,-0.81642,-9.57920
469,469955,0.17957,-0.13647,-9.66779
470,470955,1.07021,-0.84755,-9.44273
471,471955,0.78290,-0.36392,-9.54089
472,472955,0.21069,-0.06464,-9.62708
473,473955,1.50116,-0.92656,-9.40682
474,474955,0.65841,-0.25379,-9.67976
475,475955,0.39265,-0.24900,-9.61511
476,476956,0.86670,-0.56024,-9.48104
477,477955,0.64643,-0.33519,-9.63187
478,478955,0.65601,-0.42377,-9.50259
479,479955,0.66798,-0.54827,-9.53850
480,480955,0.88346,-0.38786,-9.50498
481,481956,0.45969,-0.61531,-9.59117
482,482955,0.88825,-0.47645,-9.52413
483,483955,0.86191,-0.46926,-9.55765
484,484955,0.72065,-0.64404,-9.55047
485,485955,0.37110,-0.07661,-9.66060
486,486956,1.25456,-0.99599,-9.40203
487,487955,0.29449,0.09337,-9.66060
488,488955,0.59855,-0.36152,-9.58399
489,489955,1.40540,-0.90501,-9.37091
490,490955,0.38068,0.12689,-9.69412
491,491955,0.64643,-0.69432,-9.39724
492,492955,0.71108,-0.39025,-9.56723
493,493955,0.65601,-0.40701,-9.63906
494,494955,0.53630,-0.39265,-9.56723
495,495955,0.82121,-0.63925,-9.59117
496,496955,0.62489,-0.24181,-9.59117
497,497956,0.56743,-0.72544,-9.58399
498,498955,0.84515,-0.24421,-9.60075
499,499955,0.89064,-0.76375,-9.59596
500,500955,0.36871,-0.29209,-9.59596
501,501955,0.77812,-0.50518,-9.54089
502,502956,1.05584,-0.69432,-9.41879
503,503955,0.09816,0.18675,-9.72285
504,504955,1.27372,-0.73263,-9.33499
505,505955,0.94332,-0.51236,-9.42837
506,506955,0.26336,-0.05028,-9.63187
507,507956,0.80445,-0.76854,-9.40203
508,508955,0.64643,-0.35913,-9.63187
509,509955,0.61770,-0.37589,-9.53371
510,510955,0.61531,-0.49799,-9.56244
511,511955,0.90980,-0.46208,-9.54089
512,512955,0.43814,-0.53151,-9.53850
513,513955,0.73263,-0.54348,-9.50977
514,514955,0.77812,-0.35913,-9.60554
515,515955,0.80445,-0.76136,-9.45470
516,516955,0.20590,-0.08859,-9.57920
517,517955,1.16358,-0.87867,-9.35893
518,518955,0.60813,-0.15802,-9.53611
519,519955,0.35674,-0.16520,-9.58638
520,520955,1.48201,-0.93374,-9.34936
521,521955,0.53151,-0.15083,-9.62708
522,522955,0.54588,-0.51954,-9.53850
523,523955,0.82600,-0.52912,-9.56484
524,524955,0.64643,-0.35434,-9.61990
525,525956,0.55545,-0.34716,-9.48583
526,526955,0.66798,-0.55067,-9.53611
527,527955,0.74699,-0.35434,-9.60314
528,528955,0.49081,-0.70629,-9.57681
529,529955,0.81882,-0.27533,-9.56244
530,530955,0.81882,-0.55067,-9.63187
531,531955,0.52194,-0.56264,-9.55287
532,532956,0.50518,-0.21308,-9.70849
533,533955,1.18513,-0.98641,-9.47386
534,534955,0.20111,0.20830,-9.71088
535,535955,0.88585,-0.52912,-9.46907
536,536956,1.29766,-0.80685,-9.39245
537,537955,0.29688,0.08619,-9.75158
538,538955,0.65122,-0.81163,-9.45231
539,539955,0.67038,-0.36152,-9.66060
540,540955,0.64165,-0.40941,-9.58160
541,541955,0.51954,-0.31125,-9.52892
542,542955,0.89783,-0.56982,-9.57202
543,543955,0.61292,-0.39744,-9.57441
544,544955,0.66319,-0.73741,-9.51456
545,545955,0.79966,-0.33040,-9.60793
546,546955,0.83079,-0.74939,-9.53850
547,547955,0.24421,-0.22505,-9.63427
548,548956,0.89783,-0.70629,-9.53850
549,549955,0.90501,-0.52912,-9.51216
550,550955,0.12689,0.16999,-9.73722
551,551955,1.38864,-0.81882,-9.33499
552,552955,0.82839,-0.39504,-9.52413
553,553955,0.40701,-0.19154,-9.60793
554,554955,0.84276,-0.67995,-9.42358
555,555955,0.62728,-0.31125,-9.66060
556,556955,0.65362,-0.36392,-9.49301
557,557956,0.61052,-0.54827,-9.50977
558,558955,0.91937,-0.45969,-9.46189
559,559955,0.46448,-0.59137,-9.57441
560,560955,0.82600,-0.44293,-9.61033
561,561956,0.76375,-0.45250,-9.58160
562,562955,0.75178,-0.68235,-9.48822
563,563955,0.28730,-0.11253,-9.63187
564,564955,1.26653,-0.94332,-9.41879
565,565956,0.41659,-0.10056,-9.60554
566,566955,0.47166,-0.24660,-9.64624
567,567955,1.49398,-0.93613,-9.38766
568,568955,0.38068,-0.05028,-9.75398
569,569955,0.53391,-0.58658,-9.54568
570,570955,0.77572,-0.51715,-9.52892
571,571955,0.66319,-0.42856,-9.59835
572,572955,0.63207,-0.35674,-9.48822
573,573956,0.77812,-0.55067,-9.53611
574,574955,0.74699,-0.31125,-9.54329
575,575956,0.51715,-0.68714,-9.57681
576,576955,0.86670,-0.29688,-9.56005
577,577955,0.86670,-0.59855,-9.57202
578,578956,0.46448,-0.48842,-9.57202
579,579955,0.57700,-0.28491,-9.61511
580,580955,1.23301,-0.88346,-9.36133
581,581956,0.15083,0.25618,-9.72525
582,582955,1.01754,-0.62968,-9.40203
583,583955,1.17555,-0.72065,-9.37569
584,584956,0.24421,0.08619,-9.67736
585,585955,0.71108,-0.80206,-9.35415
586,586955,0.64643,-0.32082,-9.61033
587,587955,0.67277,-0.37350,-9.62469
588,588955,0.55545,-0.43096,-9.62948
589,589955,0.94332,-0.59616,-9.53371
590,590956,0.52672,-0.46208,-9.56244
591,591955,0.65362,-0.60573,-9.53850
592,592955,0.78769,-0.28252,-9.64145
593,593955,0.92416,-0.70150,-9.57441
594,594956,0.28730,-0.20351,-9.65103
595,595955,1.10133,-0.73502,-9.48822
596,596955,0.85952,-0.51715,-9.49540
597,597955,0.17717,0.03831,-9.68215
598,598955,1.43173,-0.93374,-9.31823
599,599955,0.65601,-0.23224,-9.52892
600,600955,0.40701,-0.24181,-9.62948
601,601956,0.84994,-0.63446,-9.48343
602,602955,0.63925,-0.36631,-9.57681
603,603955,0.64643,-0.37828,-9.47625
604,604955,0.62010,-0.54109,-9.56244
605,605955,0.81163,-0.37828,-9.53132
606,606955,0.42377,-0.65362,-9.53132
607,607956,0.84755,-0.40223,-9.51456
608,608955,0.80206,-0.50039,-9.63427
609,609955,0.64883,-0.66080,-9.50737
610,610955,0.43335,-0.11253,-9.68694
611,611956,1.33357,-1.04387,-9.44034
612,612955,0.34477,0.21787,-9.66779
613,613955,0.72784,-0.35434,-9.53611
614,614955,1.42455,-0.89783,-9.36851
615,615956,0.43335,0.09577,-9.72285
616,616955,0.67516,-0.66798,-9.47386
617,617955,0.73263,-0.40701,-9.62469
618,618955,0.66080,-0.44772,-9.53611
619,619956,0.59855,-0.41420,-9.51695
620,620955,0.87867,-0.61531,-9.56723
621,621955,0.65601,-0.27773,-9.57681
622,622955,0.61052,-0.70868,-9.47625
623,623956,0.78769,-0.24421,-9.56244
624,624955,0.89304,-0.77093,-9.61033
625,625956,0.37828,-0.32322,-9.61272
626,626955,0.82361,-0.56982,-9.49540
627,627955,1.04148,-0.62728,-9.42597
628,628955,0.04788,0.09577,-9.61751
629,629956,1.22344,-0.73263,-9.35893
630,630955,0.92895,-0.54827,-9.51935
631,631955,0.32561,-0.01915,-9.70609
632,632955,0.81403,-0.79487,-9.49780
633,633956,0.64165,-0.38307,-9.64624
634,634955,0.65122,-0.37110,-9.57202
635,635955,0.55067,-0.46926,-9.57202
636,636955,0.91937,-0.49799,-9.45470
